27.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.178Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330189158_90731c1afa7f","method":"GET","path":"/api/auth/me","statusCode":304,"duration":20,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:50.573Z","level":"INFO","message":"GET /api/platform/stats","context":{"requestId":"req_1777330190557_4d320a47b3a4","method":"GET","path":"/api/platform/stats","statusCode":304,"duration":16,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:50.582Z","level":"INFO","message":"GET /api/me/stats","context":{"requestId":"req_1777330190561_a12fba344554","method":"GET","path":"/api/me/stats","statusCode":304,"duration":21,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.154Z","level":"INFO","message":"GET /settings-C3ObN4wl.js","context":{"requestId":"req_1777330191150_472870fe91f4","method":"GET","path":"/settings-C3ObN4wl.js","statusCode":200,"duration":4,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.160Z","level":"INFO","message":"GET /form-DD50talu.js","context":{"requestId":"req_1777330191158_67f0a763ba6b","method":"GET","path":"/form-DD50talu.js","statusCode":200,"duration":2,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.161Z","level":"INFO","message":"GET /avatar-Da6YyBnQ.js","context":{"requestId":"req_1777330191161_d66b74203521","method":"GET","path":"/avatar-Da6YyBnQ.js","statusCode":200,"duration":0,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.164Z","level":"INFO","message":"GET /ban-D3aZNEb_.js","context":{"requestId":"req_1777330191163_f0f3259f4725","method":"GET","path":"/ban-D3aZNEb_.js","statusCode":200,"duration":1,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.165Z","level":"INFO","message":"GET /volume-x-CLdFeNof.js","context":{"requestId":"req_1777330191163_4b39b97d6cfa","method":"GET","path":"/volume-x-CLdFeNof.js","statusCode":200,"duration":2,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.166Z","level":"INFO","message":"GET /bell-off-DimhfQf9.js","context":{"requestId":"req_1777330191166_f28437867c43","method":"GET","path":"/bell-off-DimhfQf9.js","statusCode":200,"duration":0,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.168Z","level":"INFO","message":"GET /user-check-dTYonsiy.js","context":{"requestId":"req_1777330191167_26f1d161a18c","method":"GET","path":"/user-check-dTYonsiy.js","statusCode":200,"duration":1,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.171Z","level":"INFO","message":"GET /game-speed-CxYGsnzd.js","context":{"requestId":"req_1777330191169_3040b3ced570","method":"GET","path":"/game-speed-CxYGsnzd.js","statusCode":200,"duration":2,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.174Z","level":"INFO","message":"GET /trash-2-_1xCSYWy.js","context":{"requestId":"req_1777330191172_f0d93dd0f94d","method":"GET","path":"/trash-2-_1xCSYWy.js","statusCode":200,"duration":2,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.174Z","level":"INFO","message":"GET /key-round-Clh1UQ2_.js","context":{"requestId":"req_1777330191173_0a1545deb49d","method":"GET","path":"/key-round-Clh1UQ2_.js","statusCode":200,"duration":1,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.686Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330191681_d5ee5c87eaf0","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":5,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.784Z","level":"INFO","message":"GET /install-app-CzMJlaWL.js","context":{"requestId":"req_1777330191781_3ab5b998d9da","method":"GET","path":"/install-app-CzMJlaWL.js","statusCode":200,"duration":3,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.786Z","level":"INFO","message":"GET /sparkles-DQjNoYbk.js","context":{"requestId":"req_1777330191783_de0d430f978e","method":"GET","path":"/sparkles-DQjNoYbk.js","statusCode":200,"duration":3,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.788Z","level":"INFO","message":"GET /plus-lvNndI85.js","context":{"requestId":"req_1777330191787_f62f07bae602","method":"GET","path":"/plus-lvNndI85.js","statusCode":200,"duration":1,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:51.791Z","level":"INFO","message":"GET /ellipsis-vertical-oaqhYp9q.js","context":{"requestId":"req_1777330191787_284f68171229","method":"GET","path":"/ellipsis-vertical-oaqhYp9q.js","statusCode":200,"duration":4,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:52.732Z","level":"INFO","message":"GET /","context":{"requestId":"req_1777330192727_3c06462aca6d","method":"GET","path":"/","statusCode":200,"duration":5,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:52.738Z","level":"INFO","message":"GET /api/settings/store-links","context":{"requestId":"req_1777330192728_4754b7fc5ba6","method":"GET","path":"/api/settings/store-links","statusCode":200,"duration":10,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:52.782Z","level":"INFO","message":"GET /screenshots/vex-gaming-mobile-screenshot.png","context":{"requestId":"req_1777330192731_8047d5ba0ba2","method":"GET","path":"/screenshots/vex-gaming-mobile-screenshot.png","statusCode":200,"duration":51,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:57.139Z","level":"INFO","message":"GET /screenshots/vex-gaming-desktop-screenshot.png","context":{"requestId":"req_1777330192734_6250721c3506","method":"GET","path":"/screenshots/vex-gaming-desktop-screenshot.png","statusCode":200,"duration":4405,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:08.547Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330208540_be0b5fa4503d","method":"GET","path":"/api/auth/me","statusCode":304,"duration":7,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:08.699Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330208690_e063727eba7a","method":"GET","path":"/api/auth/me","statusCode":304,"duration":9,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:09.465Z","level":"INFO","message":"GET /api/support-chat/unread","context":{"requestId":"req_1777330209458_79787901abad","method":"GET","path":"/api/support-chat/unread","statusCode":304,"duration":7,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:10.030Z","level":"INFO","message":"GET /api/notifications/unread-count","context":{"requestId":"req_1777330210024_b5924ad53490","method":"GET","path":"/api/notifications/unread-count","statusCode":304,"duration":6,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:10.276Z","level":"INFO","message":"GET /api/notifications/section-counts","context":{"requestId":"req_1777330210265_9e704784072c","method":"GET","path":"/api/notifications/section-counts","statusCode":304,"duration":11,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:11.143Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330211136_b0c116c76655","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":7,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:11.714Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330211710_c42b45f5b9b6","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":4,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:13.700Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330213693_18ea219bb69c","method":"GET","path":"/api/auth/me","statusCode":304,"duration":7,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:19.179Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330219166_1ec146fa7774","method":"GET","path":"/api/auth/me","statusCode":304,"duration":13,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:20.546Z","level":"INFO","message":"GET /api/notifications/unread-count","context":{"requestId":"req_1777330220538_e085e9b22542","method":"GET","path":"/api/notifications/unread-count","statusCode":304,"duration":8,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:21.761Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330221752_66e1daa540ba","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":9,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:27.197Z","level":"INFO","message":"GET /free-B90BiFJi.js","context":{"requestId":"req_1777330227193_24eb2dbdcdfb","method":"GET","path":"/free-B90BiFJi.js","statusCode":200,"duration":3,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:27.199Z","level":"INFO","message":"GET /calendar-eeu3TFhB.js","context":{"requestId":"req_1777330227198_9ee7edb91e1c","method":"GET","path":"/calendar-eeu3TFhB.js","statusCode":200,"duration":1,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:28.794Z","level":"INFO","message":"GET /payment-operation-Bpo3Cibb.js","context":{"requestId":"req_1777330228793_7f832ba30f94","method":"GET","path":"/payment-operation-Bpo3Cibb.js","statusCode":200,"duration":1,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:28.797Z","level":"INFO","message":"GET /transactions-BP70OeGS.js","context":{"requestId":"req_1777330228791_7c3ccbf4b8e1","method":"GET","path":"/transactions-BP70OeGS.js","statusCode":200,"duration":6,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:29.611Z","level":"INFO","message":"GET /EmptyState-C-oFSc64.js","context":{"requestId":"req_1777330229608_19f2f4a4998a","method":"GET","path":"/EmptyState-C-oFSc64.js","statusCode":200,"duration":3,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:29.614Z","level":"INFO","message":"GET /complaints-BNipsy1v.js","context":{"requestId":"req_1777330229607_539560578a63","method":"GET","path":"/complaints-BNipsy1v.js","statusCode":200,"duration":7,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:29.616Z","level":"INFO","message":"GET /TableSkeleton--oM5_agr.js","context":{"requestId":"req_1777330229613_9633fd61f547","method":"GET","path":"/TableSkeleton--oM5_agr.js","statusCode":200,"duration":3,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:29.618Z","level":"INFO","message":"GET /QueryErrorState-CgB_WnEI.js","context":{"requestId":"req_1777330229612_ae5cdfa5b60d","method":"GET","path":"/QueryErrorState-CgB_WnEI.js","statusCode":200,"duration":6,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:29.674Z","level":"INFO","message":"GET /support-CYZDmrvN.js","context":{"requestId":"req_1777330229672_01bbdea5e984","method":"GET","path":"/support-CYZDmrvN.js","statusCode":200,"duration":2,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:36.750Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330236689_f61837278f2f","method":"GET","path":"/api/auth/me","statusCode":304,"duration":60,"userId":"43f77c96-e69e-473f-956e-acb7a61a1003","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:36.777Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330236729_98cd389b8870","method":"GET","path":"/api/auth/me","statusCode":304,"duration":48,"userId":"f1a8226a-36e4-4a3f-8a72-7b9f3e50312a","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:38.739Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330238733_bc2ac4940c6c","method":"GET","path":"/api/auth/me","statusCode":304,"duration":6,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:38.792Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330238787_e977599eaa9e","method":"GET","path":"/api/auth/me","statusCode":304,"duration":5,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:39.134Z","level":"INFO","message":"GET /api/admin/app-settings","context":{"requestId":"req_1777330239121_449e5c03c958","method":"GET","path":"/api/admin/app-settings","statusCode":200,"duration":13,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:39.136Z","level":"INFO","message":"GET /api/admin/login-configs","context":{"requestId":"req_1777330239124_42b19f9cf345","method":"GET","path":"/api/admin/login-configs","statusCode":200,"duration":12,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:39.671Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330239666_fe40ec225637","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":5,"userId":"f1a8226a-36e4-4a3f-8a72-7b9f3e50312a","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:40.637Z","level":"INFO","message":"GET /api/notifications/unread-count","context":{"requestId":"req_1777330240630_f2dfca29f7f8","method":"GET","path":"/api/notifications/unread-count","statusCode":304,"duration":7,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:40.686Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330240680_f8ff3c1e7b2c","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":6,"userId":"43f77c96-e69e-473f-956e-acb7a61a1003","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:41.358Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330241353_0b061ae14e3d","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":5,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:41.684Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330241678_6b4685ae1ba3","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":6,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:43.663Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330243655_a73190703c6b","method":"GET","path":"/api/auth/me","statusCode":304,"duration":8,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:44.447Z","level":"INFO","message":"GET /api/admin/alerts/unread-by-section","context":{"requestId":"req_1777330244441_311c91ebcb8a","method":"GET","path":"/api/admin/alerts/unread-by-section","statusCode":200,"duration":6,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:44.617Z","level":"INFO","message":"GET /api/admin/alerts","context":{"requestId":"req_1777330244610_79db07fd19e6","method":"GET","path":"/api/admin/alerts","statusCode":200,"duration":6,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:45.717Z","level":"INFO","message":"GET /api/admin/alerts/count","context":{"requestId":"req_1777330245709_64a09a3b9eb8","method":"GET","path":"/api/admin/alerts/count","statusCode":200,"duration":8,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:47.011Z","level":"ERROR","message":"[ERROR] Unhandled request error","context":{"timestamp":"2026-04-27T22:50:47.011Z","requestId":"req_1777330247000_67673535f31f","method":"GET","path":"/api/admin/downloads/aab","status":500,"error":"EACCES: permission denied, open '/app/dist/public/downloads/app.aab'","ip":"41.233.127.104","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"},"error":{"name":"Error","message":"undefined"}}
vex-app       | {"timestamp":"2026-04-27T22:50:47.013Z","level":"INFO","message":"10:50:47 PM [express] GET /api/admin/downloads/aab 500 in 12ms"}
vex-app       | {"timestamp":"2026-04-27T22:50:47.013Z","level":"ERROR","message":"GET /api/admin/downloads/aab","error":{"name":"Error","message":"[object Object]"}}
vex-app       | {"timestamp":"2026-04-27T22:50:49.682Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330249673_aef668b4a360","method":"GET","path":"/api/auth/me","statusCode":304,"duration":9,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:51.945Z","level":"INFO","message":"GET /api/notifications/push/public-key","context":{"requestId":"req_1777330251939_1c79307f8da2","method":"GET","path":"/api/notifications/push/public-key","statusCode":304,"duration":6,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:50:58.188Z","level":"INFO","message":"[Marketer S
